,0
0,[CH2]
1,[CH2]1[CH2][CH2]1
2,[CH2]1[CH2][O]1
3,[CH2]1[O][O]1
4,[CH2]=[CH2]
5,[CH2]=[O]
6,[CH2][CH2]
7,[CH2][CH3]
8,[CH2][OH]
9,[CH2][O]
10,[CH3]
11,[CH3][CH3]
12,[CH3][OH]
13,[CH3][O]
14,[CH4]
15,[CH]
16,[CH]#[CH]
17,[CH]1=[CH][CH2]1
18,[CH]1=[CH][O]1
19,[CH]1[CH2][CH2]1
20,[CH]1[CH2][O]1
21,[CH]1[CH]=[CH]1
22,[CH]1[CH][CH2]1
23,[CH]1[CH][CH]1
24,[CH]1[CH][O]1
25,[CH]1[O][O]1
26,[CH]=[CH2]
27,[CH]=[CH]
28,[CH]=[O]
29,[CH][CH2]
30,[CH][CH3]
31,[CH][CH]
32,[CH][OH]
33,[CH][O]
34,[C]
35,[C]#[CH]
36,[C]#[C]
37,[C]1#[C][CH2]1
38,[C]1#[C][CH]1
39,[C]1#[C][O]1
40,[C]1=[CH][CH2]1
41,[C]1=[CH][CH]1
42,[C]1=[CH][CH]=1
43,[C]1=[CH][O]1
44,[C]1=[C]=[CH]1
45,[C]1=[C]=[C]1
46,[C]1=[C]=[C]=1
47,[C]1=[C][CH2]1
48,[C]1=[C][CH]1
49,[C]1=[C][O]1
50,[C]1[CH2][CH2]1
51,[C]1[CH2][O]1
52,[C]1[CH]=[CH]1
53,[C]1[CH][CH2]1
54,[C]1[CH][CH]1
55,[C]1[CH][O]1
56,[C]1[C]#[C]1
57,[C]1[C]=[CH]1
58,[C]1[C]=[C]1
59,[C]1[C][CH2]1
60,[C]1[C][CH]1
61,[C]1[C][C]1
62,[C]1[C][O]1
63,[C]1[O][O]1
64,[C]=[CH2]
65,[C]=[CH]
66,[C]=[C]
67,[C]=[O]
68,[C][CH2]
69,[C][CH3]
70,[C][CH]
71,[C][C]
72,[C][OH]
73,[C][O]
74,[OH2]
75,[OH]
76,[OH][OH]
77,[O]
78,[O]=[O]
79,[O][OH]
80,[O][O]
81,[o]1[o][o]1
