SMILES,C,H,N
[H]
[CH2],1,2,0
[CH3],1,3,0
[CH4],1,4,0
[CH],1,1,0
[C],1,0,0
[NH2],0,2,1
[NH3],0,3,1
[NH],0,1,1
[N],0,0,1
[CH2]=[CH2],2,4,0
[CH2]=[NH],1,3,1
[CH2]=[N],1,2,1
[CH2][CH2],2,4,0
[CH2][CH3],2,5,0
[CH2][NH2],1,4,1
[CH2][NH],1,3,1
[CH2][N],1,2,1
[CH3][CH3],2,6,0
[CH3][NH2],1,5,1
[CH3][NH],1,4,1
[CH3][N],1,3,1
[CH]#[CH],2,2,0
[CH]#[N],1,1,1
[CH]=[CH2],2,3,0
[CH]=[CH],2,2,0
[CH]=[NH],1,2,1
[CH]=[N],1,1,1
[CH][CH2],2,3,0
[CH][CH3],2,4,0
[CH][CH],2,2,0
[CH][NH2],1,3,1
[CH][NH],1,2,1
[CH][N],1,1,1
[C]#[CH],2,1,0
[C]#[C],2,0,0
[C]#[N],1,0,1
[C]=[CH2],2,2,0
[C]=[CH],2,1,0
[C]=[C],2,0,0
[C]=[NH],1,1,1
[C]=[N],1,0,1
[C][CH2],2,2,0
[C][CH3],2,3,0
[C][CH],2,1,0
[C][C],2,0,0
[C][NH2],1,2,1
[C][NH],1,1,1
[C][N],1,0,1
[NH2][NH2],0,4,2
[NH]=[NH],0,2,2
[NH][NH2],0,3,2
[NH][NH],0,2,2
[N]#[N],0,0,2
[N]=[NH],0,1,2
[N]=[N],0,0,2
[N][NH2],0,2,2
[N][NH],0,1,2
[N][N],0,0,2
[CH2]1[CH2][CH2]1,3,6,0
[CH2]1[CH2][NH]1,2,5,1
[CH2]1[CH2][N]1,2,4,1
[CH2]1[NH][NH]1,1,4,2
[CH2]1[N]=[N]1,1,2,2
[CH2]1[N][NH]1,1,3,2
[CH2]1[N][N]1,1,2,2
[CH2]=[CH][CH3],3,6,0
[CH2]=[CH][NH2],2,5,1
[CH2]=[CH][NH],2,4,1
[CH2]=[CH][N],2,3,1
[CH2]=[C]=[CH2],3,4,0
[CH2]=[C]=[NH],2,3,1
[CH2]=[C]=[N],2,2,1
[CH2]=[C][CH3],3,5,0
[CH2]=[C][NH2],2,4,1
[CH2]=[C][NH],2,3,1
[CH2]=[C][N],2,2,1
[CH2]=[N][CH3],2,5,1
[CH2]=[N][NH2],1,4,2
[CH2]=[N][NH],1,3,2
[CH2]=[N][N],1,2,2
[CH2][CH2][CH2],3,6,0
[CH2][CH2][CH3],3,7,0
