SMILES,C,H,O
[CH2],1,2,0
[CH3],1,3,0
[CH4],1,4,0
[CH],1,1,0
[C],1,0,0
[OH2],0,2,1
[OH],0,1,1
[O],0,0,1
[CH2]=[CH2],2,4,0
[CH2]=[O],1,2,1
[CH2][CH2],2,4,0
[CH2][CH3],2,5,0
[CH2][OH],1,3,1
[CH2][O],1,2,1
[CH3][CH3],2,6,0
[CH3][OH],1,4,1
[CH3][O],1,3,1
[CH]#[CH],2,2,0
[CH]=[CH2],2,3,0
[CH]=[CH],2,2,0
[CH]=[O],1,1,1
[CH][CH2],2,3,0
[CH][CH3],2,4,0
[CH][CH],2,2,0
[CH][OH],1,2,1
[CH][O],1,1,1
[C]#[CH],2,1,0
[C]#[C],2,0,0
[C]=[CH2],2,2,0
[C]=[CH],2,1,0
[C]=[C],2,0,0
[C]=[O],1,0,1
[C][CH2],2,2,0
[C][CH3],2,3,0
[C][CH],2,1,0
[C][C],2,0,0
[C][OH],1,1,1
[C][O],1,0,1
[OH][OH],0,2,2
[O]=[O],0,0,2
[O][OH],0,1,2
[O][O],0,0,2
[CH2]1[CH2][CH2]1,3,6,0
[CH2]1[CH2][O]1,2,4,1
[CH2]1[O][O]1,1,2,2
[CH2]=[CH][CH3],3,6,0
[CH2]=[CH][OH],2,4,1
[CH2]=[CH][O],2,3,1
[CH2]=[C]=[CH2],3,4,0
[CH2]=[C]=[O],2,2,1
[CH2]=[C][CH3],3,5,0
[CH2]=[C][OH],2,3,1
[CH2]=[C][O],2,2,1
[CH2][CH2][CH2],3,6,0
[CH2][CH2][CH3],3,7,0
[CH2][CH2][OH],2,5,1
[CH2][CH2][O],2,4,1
[CH2][CH]=[CH2],3,5,0
[CH2][CH]=[O],2,3,1
[CH2][CH][CH2],3,5,0
[CH2][CH][CH3],3,6,0
[CH2][CH][OH],2,4,1
[CH2][CH][O],2,3,1
[CH2][C]=[CH2],3,4,0
[CH2][C]=[O],2,2,1
[CH2][C][CH2],3,4,0
[CH2][C][CH3],3,5,0
[CH2][C][OH],2,3,1
[CH2][C][O],2,2,1
[CH2][O][CH2],2,4,1
[CH2][O][CH3],2,5,1
[CH2][O][OH],1,3,2
[CH2][O][O],1,2,2
[CH3][CH2][CH3],3,8,0
[CH3][CH2][OH],2,6,1
[CH3][CH2][O],2,5,1
[CH3][CH]=[O],2,4,1
[CH3][CH][CH3],3,7,0
[CH3][CH][OH],2,5,1
[CH3][CH][O],2,4,1
[CH3][C]=[O],2,3,1
[CH3][C][CH3],3,6,0
[CH3][C][OH],2,4,1
[CH3][C][O],2,3,1
[CH3][O][CH3],2,6,1
[CH3][O][OH],1,4,2
[CH3][O][O],1,3,2
[CH]#[C][CH2],3,3,0
[CH]#[C][CH3],3,4,0
[CH]#[C][OH],2,2,1
[CH]#[C][O],2,1,1
[CH]1=[CH][CH2]1,3,4,0
[CH]1=[CH][O]1,2,2,1
[CH]1[CH2][CH2]1,3,5,0
[CH]1[CH2][O]1,2,3,1
[CH]1[CH]=[CH]1,3,3,0
[CH]1[CH][CH2]1,3,4,0
[CH]1[CH][CH]1,3,3,0
[CH]1[CH][O]1,2,2,1
[CH]1[O][O]1,1,1,2
[CH]=[CH][CH2],3,4,0
[CH]=[CH][CH3],3,5,0
[CH]=[CH][OH],2,3,1
[CH]=[CH][O],2,2,1
[CH]=[C]=[CH2],3,3,0
[CH]=[C]=[CH],3,2,0
[CH]=[C]=[O],2,1,1
[CH]=[C][CH2],3,3,0
[CH]=[C][CH3],3,4,0
[CH]=[C][OH],2,2,1
[CH]=[C][O],2,1,1
[CH][CH2][CH2],3,5,0
[CH][CH2][CH3],3,6,0
[CH][CH2][CH],3,4,0
[CH][CH2][OH],2,4,1
[CH][CH2][O],2,3,1
[CH][CH]=[CH2],3,4,0
[CH][CH]=[CH],3,3,0
[CH][CH]=[O],2,2,1
[CH][CH][CH2],3,4,0
[CH][CH][CH3],3,5,0
[CH][CH][CH],3,3,0
[CH][CH][OH],2,3,1
[CH][CH][O],2,2,1
[CH][C]#[CH],3,2,0
[CH][C]=[CH2],3,3,0
[CH][C]=[CH],3,2,0
[CH][C]=[O],2,1,1
[CH][C][CH2],3,3,0
[CH][C][CH3],3,4,0
[CH][C][CH],3,2,0
[CH][C][OH],2,2,1
[CH][C][O],2,1,1
[CH][O][CH2],2,3,1
[CH][O][CH3],2,4,1
[CH][O][CH],2,2,1
[CH][O][OH],1,2,2
[CH][O][O],1,1,2
[C]#[C][CH2],3,2,0
[C]#[C][CH3],3,3,0
[C]#[C][CH],3,1,0
[C]#[C][OH],2,1,1
[C]#[C][O],2,0,1
[C]1#[C][CH2]1,3,2,0
[C]1#[C][CH]1,3,1,0
[C]1#[C][O]1,2,0,1
[C]1=[CH][CH2]1,3,3,0
[C]1=[CH][CH]1,3,2,0
[C]1=[CH][CH]=1,3,2,0
[C]1=[CH][O]1,2,1,1
[C]1=[C]=[CH]1,3,1,0
[C]1=[C]=[C]1,3,0,0
[C]1=[C]=[C]=1,3,0,0
[C]1=[C][CH2]1,3,2,0
[C]1=[C][CH]1,3,1,0
[C]1=[C][O]1,2,0,1
[C]1[CH2][CH2]1,3,4,0
[C]1[CH2][O]1,2,2,1
[C]1[CH]=[CH]1,3,2,0
[C]1[CH][CH2]1,3,3,0
[C]1[CH][CH]1,3,2,0
[C]1[CH][O]1,2,1,1
[C]1[C]#[C]1,3,0,0
[C]1[C]=[CH]1,3,1,0
[C]1[C]=[C]1,3,0,0
[C]1[C][CH2]1,3,2,0
[C]1[C][CH]1,3,1,0
[C]1[C][C]1,3,0,0
[C]1[C][O]1,2,0,1
[C]1[O][O]1,1,0,2
[C]=[CH][CH2],3,3,0
[C]=[CH][CH3],3,4,0
[C]=[CH][CH],3,2,0
[C]=[CH][OH],2,2,1
[C]=[CH][O],2,1,1
[C]=[C]=[CH2],3,2,0
[C]=[C]=[CH],3,1,0
[C]=[C]=[C],3,0,0
[C]=[C]=[O],2,0,1
[C]=[C][CH2],3,2,0
[C]=[C][CH3],3,3,0
[C]=[C][CH],3,1,0
[C]=[C][OH],2,1,1
[C]=[C][O],2,0,1
[C][CH2][CH2],3,4,0
[C][CH2][CH3],3,5,0
[C][CH2][CH],3,3,0
[C][CH2][C],3,2,0
[C][CH2][OH],2,3,1
[C][CH2][O],2,2,1
[C][CH]=[CH2],3,3,0
[C][CH]=[CH],3,2,0
[C][CH]=[C],3,1,0
[C][CH]=[O],2,1,1
[C][CH][CH2],3,3,0
[C][CH][CH3],3,4,0
[C][CH][CH],3,2,0
[C][CH][C],3,1,0
[C][CH][OH],2,2,1
[C][CH][O],2,1,1
[C][C]#[CH],3,1,0
[C][C]#[C],3,0,0
[C][C]=[CH2],3,2,0
[C][C]=[CH],3,1,0
[C][C]=[C],3,0,0
[C][C]=[O],2,0,1
[C][C][CH2],3,2,0
[C][C][CH3],3,3,0
[C][C][CH],3,1,0
[C][C][C],3,0,0
[C][C][OH],2,1,1
[C][C][O],2,0,1
[C][O][CH2],2,2,1
[C][O][CH3],2,3,1
[C][O][CH],2,1,1
[C][O][C],2,0,1
[C][O][OH],1,1,2
[C][O][O],1,0,2
[OH][CH2][OH],1,4,2
[OH][CH][OH],1,3,2
[OH][C][OH],1,2,2
[OH][O][OH],0,2,3
[O]=[CH][OH],1,2,2
[O]=[C]=[O],1,0,2
[O]=[C][OH],1,1,2
[O][CH2][OH],1,3,2
[O][CH2][O],1,2,2
[O][CH]=[O],1,1,2
[O][CH][OH],1,2,2
[O][CH][O],1,1,2
[O][C]=[O],1,0,2
[O][C][OH],1,1,2
[O][C][O],1,0,2
[O][O][OH],0,1,3
[O][O][O],0,0,3
[o]1[o][o]1,0,0,3
[CH2]1[CH2][CH2][CH2]1,4,8,0
[CH2]1[CH2][O][CH2]1,3,6,1
[CH2]1[CH2][O][O]1,2,4,2
[CH2]1[CH]2[CH2][CH]12,4,6,0
[CH2]1[CH]2[O][CH]12,3,4,1
[CH2]1[C]2=[C]1[CH2]2,4,4,0
[CH2]1[C]2=[C]1[O]2,3,2,1
[CH2]1[C]2[CH2][CH]12,4,5,0
[CH2]1[C]2[CH2][C]12,4,4,0
[CH2]1[C]2[O][CH]12,3,3,1
[CH2]1[C]2[O][C]12,3,2,1
[CH2]1[O][CH2][O]1,2,4,2
[CH2]1[O][O][O]1,1,2,3
[CH2]=[CH][CH2][CH3],4,8,0
[CH2]=[CH][CH2][OH],3,6,1
[CH2]=[CH][CH2][O],3,5,1
[CH2]=[CH][CH]=[CH2],4,6,0
[CH2]=[CH][CH]=[O],3,4,1
[CH2]=[CH][CH][CH3],4,7,0
[CH2]=[CH][CH][OH],3,5,1
[CH2]=[CH][CH][O],3,4,1
[CH2]=[CH][C]=[O],3,3,1
[CH2]=[CH][C][CH3],4,6,0
[CH2]=[CH][C][OH],3,4,1
[CH2]=[CH][C][O],3,3,1
[CH2]=[CH][O][CH3],3,6,1
[CH2]=[CH][O][OH],2,4,2
[CH2]=[CH][O][O],2,3,2
[CH2]=[C]([CH3])[CH3],4,8,0
[CH2]=[C]([CH3])[OH],3,6,1
[CH2]=[C]([CH3])[O],3,5,1
[CH2]=[C]([OH])[OH],2,4,2
[CH2]=[C]([O])[OH],2,3,2
[CH2]=[C]([O])[O],2,2,2
[CH2]=[C]1[CH2][CH2]1,4,6,0
[CH2]=[C]1[CH2][O]1,3,4,1
[CH2]=[C]1[CH]=[CH]1,4,4,0
[CH2]=[C]1[CH][CH2]1,4,5,0
[CH2]=[C]1[CH][CH]1,4,4,0
[CH2]=[C]1[CH][O]1,3,3,1
[CH2]=[C]1[C]#[C]1,4,2,0
[CH2]=[C]1[C]=[CH]1,4,3,0
[CH2]=[C]1[C]=[C]1,4,2,0
[CH2]=[C]1[C][CH2]1,4,4,0
[CH2]=[C]1[C][CH]1,4,3,0
[CH2]=[C]1[C][C]1,4,2,0
