,0,1
0,[CH2]~[CH2] + [C]~[C],[C]~[C]=[CH2]~[CH2]
1,[CH2]~[O] + [CH2]~[CH2],[CH2]~[CH2]~[O]~[CH2]
2,[C]~[C] + [O]~[O],[C]~[C]~[O]~[O]
3,[CH2]~[CH2] + [CH2]~[CH2],[CH2]~[CH2]=[CH2]~[CH2]
4,[CH2]~[O] + [CH2]~[O],[CH2]~[O][CH2]~[O]
5,[CH2]~[CH2] + [CH]~[CH],[CH]~[CH][CH2]~[CH2]
6,[C]~[C] + [O]~[O],[C]~[C][O]~[O]
7,[CH2]~[O] + [CH2]~[O],[CH2]~[O]=[O]~[CH2]
8,[CH]~[CH] + [CH2]~[CH2],[CH]~[CH]=[CH2]~[CH2]
9,[CH2]~[O] + [CH2]~[CH2],[CH2]~[CH2]~[CH2]~[O]
10,[CH]~[CH] + [CH2]~[O],[CH]~[CH][CH2]~[O]
11,[O]~[O] + [CH]~[CH],[CH]~[CH]~[O]~[O]
12,[CH3][CH3],[CH3] + [CH3]
13,[CH2]~[O] + [CH]~[CH],[CH]~[CH]~[O]~[CH2]
14,[C]$[C],[C] + [C]
15,[CH2]~[O] + [O]~[O],[CH2]~[O][O]~[O]
16,[CH2]~[O] + [CH2]~[O],[CH2]~[O][O]~[CH2]
17,[CH2]~[O] + [CH2]~[O],[O]~[CH2]~[CH2]~[O]
18,[C]~[C] + [CH]~[CH],[C]~[C]#[CH]~[CH]
19,[CH2]~[O] + [CH2]~[O],[CH2]~[O]~[O]~[CH2]
20,[CH2]~[O] + [CH2]~[CH2],[CH2]~[CH2]=[O]~[CH2]
21,[CH]~[CH],[CH] + [CH]
22,[CH]~[CH] + [CH]~[CH],[CH]~[CH]~[CH]~[CH]
23,[CH2]~[O] + [C]~[C],[C]~[C][O]~[CH2]
24,[CH3][OH],[CH3] + [OH]
25,[CH]~[CH] + [O]~[O],[CH]~[CH]=[O]~[O]
26,[CH2]~[O] + [CH2]~[CH2],[CH2]~[CH2][CH2]~[O]
27,[CH2]~[CH2] + [CH2]~[O],[CH2]~[CH2][O]~[CH2]
28,[O]=[O],[O] + [O]
29,[CH]~[CH] + [CH]~[CH],[CH]~[CH]=[CH]~[CH]
30,[CH2]~[CH2] + [CH]~[CH],[CH]~[CH]~[CH2]~[CH2]
31,[CH2]=[CH2],[CH2] + [CH2]
32,[CH]~[CH] + [C]~[C],[C]~[C][CH]~[CH]
33,[O]~[O] + [CH2]~[O],[O]~[CH2]~[O]~[O]
34,[C]~[C] + [CH2]~[O],[C]~[C]~[CH2]~[O]
35,[C]~[C] + [C]~[C],[C]~[C]~[C]~[C]
36,[CH]~[CH] + [CH]~[CH],[CH]~[CH][CH]~[CH]
37,[CH]~[CH] + [CH]~[CH],[CH]~[CH]#[CH]~[CH]
38,[O]~[O] + [CH2]~[CH2],[CH2]~[CH2][O]~[O]
39,[C]~[C],[C] + [C]
40,[CH2]=[O],[CH2] + [O]
41,[C]~[C] + [O]~[O],[C]~[C]=[O]~[O]
42,[CH2]~[O] + [CH2]~[O],[CH2]~[O]~[CH2]~[O]
43,[C]~[C] + [C]~[C],[C]~[C][C]~[C]
44,[CH2]~[CH2] + [CH2]~[CH2],[CH2]~[CH2][CH2]~[CH2]
45,[CH2]~[O] + [C]~[C],[C]~[C]~[O]~[CH2]
46,[O]~[O] + [CH2]~[CH2],[CH2]~[CH2]=[O]~[O]
47,[CH2]~[O] + [O]~[O],[CH2]~[O]~[O]~[O]
48,[C]~[C] + [CH2]~[O],[C]~[C][CH2]~[O]
49,[CH2]~[O] + [CH2]~[O],[O]~[CH2]=[CH2]~[O]
50,[CH]~[CH] + [CH2]~[O],[CH]~[CH][O]~[CH2]
51,[C]~[C] + [CH]~[CH],[C]~[C]=[CH]~[CH]
52,[CH2]~[O] + [CH2]~[O],[CH2]~[O]=[CH2]~[O]
53,[CH2]~[O] + [CH2]~[CH2],[CH2]~[CH2]=[CH2]~[O]
54,[CH]~[CH] + [C]~[C],[C]~[C]~[CH]~[CH]
55,[O]~[O] + [CH]~[CH],[CH]~[CH][O]~[O]
56,[C]~[C] + [CH2]~[O],[C]~[C]=[O]~[CH2]
57,[CH2]~[O] + [CH]~[CH],[CH]~[CH]=[CH2]~[O]
58,[O]~[O] + [O]~[O],[O]~[O]~[O]~[O]
59,[O]~[O] + [O]~[O],[O]~[O]=[O]~[O]
60,[CH2]~[O] + [CH]~[CH],[CH]~[CH]=[O]~[CH2]
61,[CH2]~[O] + [C]~[C],[C]~[C]=[CH2]~[O]
62,[CH]#[CH],[CH] + [CH]
63,[C]~[C] + [C]~[C],[C]~[C]#[C]~[C]
64,[CH2]~[O] + [CH]~[CH],[CH]~[CH]~[CH2]~[O]
65,[C]~[C] + [CH2]~[CH2],[C]~[C]~[CH2]~[CH2]
66,[O]~[O] + [O]~[O],[O]~[O][O]~[O]
67,[CH2]~[O] + [O]~[O],[CH2]~[O]=[O]~[O]
68,[O]~[O] + [CH2]~[O],[O]~[CH2][O]~[O]
69,[O]~[O] + [CH2]~[CH2],[CH2]~[CH2]~[O]~[O]
70,[C]~[C] + [C]~[C],[C]~[C]$[C]~[C]
71,[C]~[C] + [CH2]~[CH2],[C]~[C][CH2]~[CH2]
72,[O]~[O] + [CH2]~[O],[O]~[CH2]=[O]~[O]
73,[O]~[O],[O] + [O]
74,[CH2]~[O],[CH2] + [O]
75,[C]~[C] + [C]~[C],[C]~[C]=[C]~[C]
76,[CH2]~[CH2],[CH2] + [CH2]
77,[OH][OH],[OH] + [OH]
78,[CH2]~[O] + [CH2]~[O],[O]~[CH2][CH2]~[O]
79,[CH2]~[CH2] + [CH2]~[CH2],[CH2]~[CH2]~[CH2]~[CH2]
